Magnitud,id_event,Location,detect_seismO,detect_das,clipped,channels
1.7,uw61901366,131.8897944,,FALSE,,
1.9,uw61901281,21.52825029,,TRUE,,
1.7, uw61901221,15.59190368,,TRUE,,
1.87,   uw61899186,25.0094501,,TRUE,,
1.8,  uw61898701,124.9155736,,FALSE,,
1.75,   uw61897976,36.76749538,,FALSE,,
1.95,  uw61896996,176.5021743,,FALSE,,
1.76,    uw61886532,145.2085612,,FALSE,,
1.7, uw61885787,105.8264607,,FALSE,,
1.93,  uw61893896,112.9119209,,FALSE,,
1.73,   uw61881742,85.05135264,,FALSE,,
1.73,  uw61890241,19.29161012,,TRUE,,
1.74,  uw61889281,149.5543576,,FALSE,,
1.82, uw61888846,17.30597007,,TRUE,,
1.75,   uw61878742,28.92673874,,TRUE,,
1.92,    uw61878217,98.90618045,,FALSE,,
1.9,  uw61877107,30.89706558,,norecord,,
1.84,  uw61884286,31.67518175,,FALSE,,
1.82,   uw61874612,102.0852149,,FALSE,,
1.83, uw61879156,9.877955053,,FALSE,,
1.9,  uw61869802,38.89569202,,FALSE,,
1.85,   uw61869502,163.3339091,,FALSE,,
1.74,   uw61862632,162.4684164,,FALSE,,
1.88,   uw61861622,91.99946791,,FALSE,,
1.97,  uw61859497,145.1159656,,FALSE,,
1.75,  uw61868371,27.55107432,,FALSE,,
1.83,   uw61868246,162.2379489,,FALSE,,
1.98,   uw61867726,119.1740392,,FALSE,,
1.98,  uw61862841,80.07435398,,FALSE,,
1.98,   uw61862101,123.4468652,,FALSE,,
1.76,uw61852977,132.8810758,,FALSE,,
1.89,   uw61851232,147.4888779,,norecord,,
1.86,   uw61847807,37.58268088,,norecord,,
1.72,   uw61845982,136.1973065,,norecord,,
1.92,   uw61850536,23.91365301,,norecord,,
1.8,  uw61850516,152.1617983,,norecord,,
1.72,   uw61837182,170.7816735,,FALSE,,
1.77,  uw61842061,12.55362759,,FALSE,,
1.75,  uw61832102,78.55405977,,FALSE,,
1.92,   uw61832047,99.07566481,,FALSE,,
1.8,   uw61831742,38.08277923,,FALSE,,
1.81,   uw61828417,112.8254647,,norecord,,
1.97,   uw61834496,38.09930823,,norecord,,
1.99,   uw61822352,158.9691886,,norecord,,
1.89,  uw61830496,45.25576743,,norecord,,
1.9,   uw61819432,85.97703557,,FALSE,,
1.7,  uw61827001,118.0742206,,FALSE,,
1.74,    uw61817307,113.5529052,,FALSE,,
1.85, uw61816742,77.31455718,,FALSE,,
1.93,    uw61815647,52.16873289,,FALSE,,
1.87,  uw61814957,138.2858879,,norecord,,
