Calibration
Lat,Long,Elev,Opt Dist,Scale Name,Scale Number,Description,State,Purpose,Scale Suffix
48.0866660,-122.5680550,0.0000000,0.00,,,,,,
48.1019890,-122.5751390,0.0000000,3353.20,,,,,Intersection of 525 and N. Bluff Rd.,
48.1285870,-122.5619470,0.0000000,6820.22,,,,,Hidden Beach Manhole Cover,
48.1358330,-122.5113890,0.0000000,10975.00,,,,,,
