Fiber Route
Lat,Long,Elev,Description
47.759269,-122.201038,0,
47.759236,-122.200043,0,
47.759124,-122.199464,0,
47.759863,-122.200916,0,
47.760172,-122.201522,0,
47.76006,-122.201093,0,
47.760058,-122.201087,0,
47.76004999999999,-122.201056,0,
47.760055,-122.200504,0,
47.759688,-122.198933,0,
47.759545,-122.198346,0,
47.759194,-122.197155,0,
47.75898,-122.196544,0,
47.758737,-122.196165,0,
47.75830100000001,-122.194216,0,
47.75838499999999,-122.19356,0,
47.758206,-122.191504,0,
47.757981,-122.191496,0,
47.757981,-122.191467,0,
